year,question_number,word_count,difficulty_estimate,reasoning_tags,preview
2008,49,41,1.5,,Which tree species is/are found in areas where the average winter temperature is below 0°C?
2008,50,32,1.5,,Which species is/are found below an altitude of 500m?
2009,1,20,1.5,,How many percent of Guanine is present in chromosome 2?
2009,2,72,1.8,Negation trap,Assume that the entire sequence of the chromosome is transcribed.
2009,16,32,1.5,,Which of the following joints are present after birth but absent later in life?
2009,20,40,1.5,,You have discovered a new insect that has the following characteristics: four membranous wings and long slender abdomens.
2009,38,46,1.8,Negation trap,Lawns in the United States take up more land than cultivated corn.
2009,39,72,1.5,,Several artificial cells are created with various dimensions. Which of the following dimensions would be most conducive to diffusion? A cell
2009,40,33,1.85,Data/figure/table reasoning,The cell shown in the image below is most likely a:
2009,44,89,1.9,,"While hiking in Yellowstone National Park, a 54 year-old man slipped and fell, landing awkwardly on one leg. He experienced sharp pain but w"
2010,13,99,1.9,,Which of the following best describes the fluorophore in the green fluorescent protein?
2010,45,94,1.9,,Your parents built a tree house for you when you were 8 years old and 4 feet tall. They placed the tree house on a branch of a tree that was
2011,14,29,1.85,Data/figure/table reasoning,How many root meristems do you estimate are on this plant?
2011,29,43,1.8,Multi-statement / Roman,"Although many fish are exothermic, some fish are endothermic."
2011,44,32,1.5,,Earth’s four major terrestrial biomes are
2011,45,38,1.5,,Which two major climatic factors dictate what kind of vegetation is found on the landscape?
2012,15,25,1.5,,Roots absorb cations from the soil by a process called:
2012,29,56,1.85,Experimental design/control reasoning,Fixation is a lab procedure used to prevent biological tissues from decay. In instances where perfect morphology of the whole animal is desi
2012,36,59,1.5,,What provides the best evidence for the independent origin of microphylls and megaphylls?
2012,41,24,1.5,,An individual with Turner Syndrome would have which of the following sex chromosomes arrangements?
2012,42,36,1.5,,"When the base composition of DNA from bacterium Fusobacterium novum was determined, 32% of the bases were found to be guanine. What is the p"
2012,50,22,1.5,,Which of the following classes contains organisms lacking a closed circulatory system?
2013,34,63,1.8,Negation trap,Which of the following is NOT a reason that Drosophila melanogaster was originally used as a model organism in Thomas Morgan’s 1907 genetics
2013,39,32,1.5,,Which of the following pairs represent two distinct species?
2013,40,59,1.85,Data/figure/table reasoning,"You are studying the four genes E, F, G, H. In the chart below, you will find the crossing over frequencies for each pair of genes."
2013,43,48,1.5,,Hackweed has a diploid number of 8 and thale cress has a diploid number of 10.
2013,44,83,1.9,,Which of the following is an example of Batesian mimicry?
2013,45,140,2.35,,"A mother antelope and its child are galloping along the plains, when they encounter a group of hungry lions. If the two antelopes try to esc"
2013,49,18,1.5,,Which of the following families is a monocot?
2014,7,62,2.15,Negation trap|Data/figure/table reasoning,Which of the following is NOT a component of the cell wall or cell membrane?
2014,32,145,2.65,Negation trap,"When one travels across time zones by airplane, one experiences being tired and disoriented. Decide which statement is true and which is fal"
2014,36,22,1.5,,Which of the following is a genetic variation of Klinefelter’s Syndrome?
2014,48,21,1.5,,Which of the following biomes receives the most annual rainfall?
2015,17,110,1.9,,Chrissie is a Papillon an herbivore who tends to round out her daily serving of “crunchies” with slash palms and grasses found in the yard. 
2015,19,140,2.7,Experimental design/control reasoning,"You hypothesize that reduced caloric intake may increase the lifespan of C. elegans. To test your hypothesis, you feed the worms different c"
2015,28,1,1.5,,Calcium.
2015,29,1,1.5,,Chloride.
2015,30,1,1.5,,Potassium.
2015,31,1,1.5,,Sodium.
2015,34,85,1.9,,"The Pallas cat, Otocolobus manul, inhabits both the desert and the rocky terrain and woodlands of the mountain steppe environments of Centra"
2015,41,75,1.5,,Some reptiles have very striking coloration; &#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95; is though
2015,44,107,2.3,Calculation / quantitative,The size of an amphibian or reptile matters in terms of thermal interactions with the environment. The larger the animal the &#95;&#95;&#95;
2015,47,17,1.5,,Diatoms (Bacillariophyta) are more closely related to red algae (Rhodophyta) than they are to brown algae (Phaeophyta).
2015,48,18,1.5,,Slime molds (Eumycetozoa) are more closely related to amoebas (Lobosea) than they are to brewer’s yeast (Saccharomyces).
2015,50,15,1.5,,Insects are more closely related to roundworms (Nematoda) than they are to segmented worms (Oligochaeta).
2016,11,55,1.5,,"Botanist Grace is attempting to determine the identity of a plant. She masterfully sections the leaves, and through a light microscope obser"
2016,22,13,1.85,Data/figure/table reasoning,Which of the organism above in the figure above utilizes positive pressure breathing?
2016,23,71,2.6,Select-all / multi-answer|Data/figure/table reasoning,Examine the diagram below of a human eye condition. Which of the following statements is TRUE? SELECT ALL THAT APPLY.
2016,46,62,2.2,Negation trap|Calculation / quantitative,Which result would have been most likely if only red-brown floor covering had been used?
2016,50,42,2.55,Negation trap|Select-all / multi-answer,Chef Grace is cooking up a stir fry. She wants to use a pseudocoelomate larva. Which of the following groups would NOT provide suitable larv
2017,12,52,1.8,Multi-statement / Roman,Grace is attempting to identify what organism a tissue sample came from. She finds linear cellulose synthesizing complexes. Which of the fol
2017,31,34,1.5,,Which of the following best represents the type of mimicry characteristic of multiple poisonous butterflies having similar coloration?
2017,40,26,1.5,,Errors during the labeling steps resulting in two transition mutations in the barcode for Sample 26 could result in the same barcode used fo
2017,41,8,1.85,Experimental design/control reasoning,The experiment yielded 3 x $10^7$ sequences.
2017,46,107,1.9,,Which of the following climates describes that of the chaparral biome?
2017,49,52,1.8,Negation trap,"You are pleasantly enjoying your afternoon in Bali, Indonesia, when you stumble upon a street stand that has a conspicuous “DO NOT TOUCH” si"
2018,1,33,1.5,,"In the extracellular matrix of an animal cell, you would like to test the binding partner of integrins in vitro. Integrins would most likely"
2018,27,35,1.5,,Which of the following are most responsible for carrying and transporting triacylglycerols in the body?
2018,48,80,1.5,,"A certain caterpillar has a net production efficiency of 28%, assimilation efficiency of 39%, exploitation efficiency of 50%, and a gross pr"
2019,4,29,1.85,Data/figure/table reasoning,The molecule shown below is the substance pumiliotoxin produced by poison dart frogs. At which arrow could a hydrogen bond form?
2019,43,25,1.5,,A coelenterate such as a sea anemone could best be described as an
2020,17,56,2.1,Negation trap|Multi-statement / Roman,Plants require a distinct but not mutually exclusive panel of micronutrients from mammals. Which of the following micronutrients are necessa
2021,33,228,3.2,Calculation / quantitative,"Lakshay is observing his herd of A. alces and notes that they appear optimal in their foraging. To test this, he creates a habitat with two "
2022,11,71,1.5,,"For a silvery plant with dorsiventral leaves, the side with the most hairs will be the"
2022,19,67,1.8,Negation trap,The lateral line system is a necessary system for the survival in most fish. A key part of the lateral line is a substructure called the cup
2022,24,79,1.9,Calculation / quantitative,"Basal metabolic rate is defined as the metabolic rate for an endotherm, an animal that produces its own body heat. Suppose a 1.8 kg newborn "
2023,8,61,1.5,,"According to Levinthal's paradox, polypeptide chains can fold in almost an infinite number of ways after they are translated. When polypepti"
2023,10,99,2.25,Data/figure/table reasoning,The hydrocarbon chain in the top triglyceride above has &#95;&#95;&#95;&#95;&#95;&#95;&#95;&#95;; the hydrocarbon chain in the bottom trigly
2023,21,22,1.5,,How should Patient A's aortic valve be categorized?
2023,22,22,1.5,,How should Patient B's aortic valve be categorized?
2023,24,34,1.5,,When is the flow above the baseline in Patient C occurring during the cardiac cycle?
2023,27,131,2.65,Negation trap,"In 2018, a dramatic rescue plan for 13 lives trapped in an underground cave system in Thailand required extreme measures. Ultimately, those "
2023,29,28,1.5,,Which of the following structures is most directly responsible for the blind spot in human vision?
2023,33,85,1.9,,"According to optimal foraging theory,"
